Timestamp,Sample,Compound,Molar Mass (g/mol),Mass conc (g/L),Molar conc (mol/L),Comment,Corrupted?
2023-02-01 09:00,S01,Salt,,0.05,,"only mass,spacing",Could not parse sum formula: Salt
2023-02-01 09:37,S02,C6H12O6,180.156,0.050 g/L - pending,,"only mass,annotation",mass concentration corrupted
2023-02-01 10:14,S03,Alcohol,,,0.05 mol L,"only molar,unit variant",Could not parse sum formula: Alcohol;mol concentration corrupted
2023-02-01 10:51,S04,H2SO4,98.072,0.050 g/L (?),,"only mass,annotation",mass concentration corrupted
2023-02-01 11:28,S05,H2SO4,98.072,0.05,0.00050983,"only mass,case variant",
2023-02-01 12:05,S06,KaliSalt,,,,none,Could not parse sum formula: KaliSalt
2023-02-01 12:42,S07,KOH,56.1053,0.050 G/L,,"only mass,case variant",mass concentration corrupted
2023-02-02 13:19,S08,CaCl2,110.978,0.050 g/L ~,,"only mass,annotation",mass concentration corrupted
2023-02-02 13:56,S09,C12H22O11,342.297,,,none,
2023-02-02 14:33,S10,NH3,17.031,,,none,
2023-02-02 15:10,S11,CH3COOH,60.052,0.0030026,5e-05,"only molar,mmol variant",
2023-02-02 15:47,S12,HNO3,63.012,58.44,0.927442,only mass,
2023-02-02 16:24,S13,Na2SO4,142.036,0.00710178,5e-05,"only molar,mmol variant",
2023-02-02 17:01,S14,MgCl2,95.205,0.0476025,0.0005,"only molar,cmol variant",
2023-02-03 17:38,S15,FeCl3,162.195,0.05,0.05,"both conc.,spacing",concentration ratio implausible
2023-02-03 18:15,S16,Water,,2.922,0.1622,both conc.,Could not parse sum formula: Water;concentration ratio check unsucessful
2023-02-03 18:52,S17,NaCl,58.4398,0.050 g/L (?),,"only mass,annotation",mass concentration corrupted
2023-02-03 19:29,S18,C6H12O6,180.156,,,none,
2023-02-03 20:06,S19,C2H6O,46.069,58.44,1.26853,only mass,
2023-02-03 20:43,S20,H2SO4,98.072,0.050 g per L,,"only mass,unit variant",mass concentration corrupted
2023-02-03 21:20,S21,H2SO4,98.072,0.05,0.00050983,"only mass,spacing",
2023-02-04 21:57,S22,KCl,74.5483,3.72742,0.05,"only molar,spacing",
2023-02-04 22:34,S23,KOH,56.1053,,,none,
2023-02-04 23:11,S24,CaCl2,110.978,4.904,0.0441889,"only mass,dec. Comma",
2023-02-04 23:48,S25,C12H22O11,342.297,,,none,
2023-02-05 00:25,S26,NH3,17.031,"0.050 g/L, check",,"only mass, annotation",mass concentration corrupted
2023-02-05 01:02,S27,CH3COOH,60.052,3.0026,0.05,only molar,
2023-02-05 01:39,S28,HNO3,63.012,3.1506,0.05,"only molar,mmol/l variant",
2023-02-06 02:16,S29,Na2SO4,142.036,90,0.05,both conc.,concentration ratio implausible
2023-02-06 02:53,S30,MgCl2,95.205,0.050 G/L,,"both conc.,case variant,unit variant",mass concentration corrupted
2023-02-06 03:30,S31,FeCl3,162.195,111,0.684361,only mass,
2023-02-06 04:07,S32,H2O,18.015,34.5,1.91507,only mass,
